Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
1         ,mp-1001602,B12W      ,     239.0,     239.0,82.0      ,0.29      ,1.93      ,   97.3255,    21.409,0.28235888897435846
2         ,mp-1001788,ZrB6      ,     179.0,     179.0,2.0       ,0.39      ,2.06      ,   51.0175,     46.62,0.40229190380952495
3         ,mp-10055  ,Co2B4Mo   ,     303.0,     302.0,178.0     ,0.25      ,1.9       ,55.228064999999994,    24.261,0.011681339285716241
4         ,mp-10057  ,VCoB3     ,     291.0,     287.0,203.0     ,0.21      ,1.71      , 40.228565,    27.092,         0
5         ,mp-10059  ,ZrCo3B2   ,     244.0,     244.0,122.0     ,0.27      ,2.06      ,53.656065000000005,    19.484,0.011640041666664658
6         ,mp-10065  ,UFe3B2    ,     237.0,     228.0,126.0     ,0.26      ,1.75      ,101.56163666666667,    20.429,         0
7         ,mp-1007881,FeB       ,     242.0,     236.0,144.0     ,0.24      ,1.56      ,    33.328,    21.046,0.006205907499999164
8         ,mp-1008487,BW        ,     341.0,     341.0,182.0     ,0.27      ,1.93      ,   97.3255,    25.944,0.011545221249999571
9         ,mp-1010   ,MnB4      ,     266.0,     256.0,232.0     ,0.15      ,1.61      ,32.8745225,    34.915,0.017570125000000658
10        ,mp-10113  ,ScBIr3    ,     238.0,     238.0,115.0     ,0.28      ,1.84      , 82.661304,    19.149,         0
11        ,mp-10118  ,Mn3B4     ,     236.0,     232.0,165.0     ,0.21      ,1.61      ,32.8745225,    22.782,         0
12        ,mp-10132  ,UB2Os3    ,     297.0,     297.0,136.0     ,0.3       ,1.85      ,146.35663666666667,    22.004,         0
13        ,mp-10133  ,Sc3BPb    ,      79.0,      79.0,65.0      ,0.18      ,1.84      ,87.65563733333333,    10.095,         0
14        ,mp-10136  ,Ti2ReB2   ,     254.0,     252.0,188.0     ,0.2       ,1.88      ,81.62833333333333,    25.948,         0
15        ,mp-10139  ,Sc3SnB    ,      83.0,      83.0,68.0      ,0.17      ,1.84      ,58.15897066666667,    11.475,0.007751572166666776
16        ,mp-10140  ,Sc3TlB    ,      74.0,      74.0,54.0      ,0.21      ,1.84      ,86.71673733333331,     7.768,0.03538100466666627
17        ,mp-10142  ,Ta3B4     ,     296.0,     296.0,205.0     ,0.22      ,2.0       ,  95.87944,    26.808,         0
18        ,mp-1014246,ZrB       ,     167.0,     165.0,71.0      ,0.29      ,2.06      ,   51.0175,    13.611,0.3295970775000008
