Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
1         ,mp-10020  ,ScC       ,     142.0,     142.0,68.0      ,0.29      ,1.84      , 28.483306,    10.456,0.3085164303571437
2         ,mp-1002124,HfC       ,     163.0,     163.0,23.0      ,0.41      ,2.08      ,  95.25035,    14.252,0.6414215250000002
3         ,mp-10030  ,RuC       ,     342.0,     334.0,74.0      ,0.38      ,1.78      ,  56.54035,    24.152,0.6487312799999998
4         ,mp-10046  ,V2AsC     ,     203.0,     203.0,110.0     ,0.26      ,1.71      ,45.95793333333334,    17.105,         0
5         ,mp-1008625,W2C       ,     306.0,     300.0,156.0     ,0.28      ,1.93      ,97.92535000000001,    23.169,0.13711337000000157
6         ,mp-1008630,WC        ,     358.0,     358.0,199.0     ,0.23      ,1.93      ,97.92535000000001,    32.326,0.9152278900000006
7         ,mp-1008632,V2C       ,     219.0,     219.0,64.0      ,0.32      ,1.71      ,   31.4761,     17.63,0.017705261666666416
8         ,mp-1008635,WC        ,     249.0,     249.0,3.0       ,0.48      ,1.93      ,97.92535000000001,    46.369,0.6728753849999993
9         ,mp-1008805,ReC2      ,     335.0,     317.0,199.0     ,0.24      ,1.88      ,99.10884999999999,     28.47,0.4789517108333339
10        ,mp-1008835,OsC2      ,     370.0,     347.0,187.0     ,0.27      ,1.85      , 101.12035,    28.506,0.5998804700000004
11        ,mp-1009218,MoC       ,     246.0,     246.0,7.0       ,0.47      ,1.9       ,  53.97535,    33.098,0.5842500824999988
12        ,mp-1009458,NbC       ,     197.0,     197.0,78.0      ,0.32      ,1.98      ,  52.45854,    14.235,0.5928790033333335
13        ,mp-1009540,OsC       ,     256.0,     256.0,14.0      ,0.46      ,1.85      , 101.12035,    27.496,0.7182718950000009
14        ,mp-1009735,ReC       ,     413.0,     409.0,223.0     ,0.26      ,1.88      ,99.10884999999999,    31.541,0.26498010124999993
15        ,mp-1009787,RuC       ,     313.0,     313.0,22.0      ,0.44      ,1.78      ,  56.54035,    30.065,0.9087174999999998
16        ,mp-1009792,RuC       ,     223.0,     223.0,51.0      ,0.39      ,1.78      ,  56.54035,    15.864,0.4535905099999997
17        ,mp-1009832,TaC       ,     225.0,     225.0,81.0      ,0.34      ,2.0       ,96.47928999999999,    16.006,0.5179577149999997
18        ,mp-1009894,ZrC       ,     135.0,     135.0,33.0      ,0.37      ,2.06      ,  51.61735,     10.11,0.6132600900000007
19        ,mp-1014307,ZrC       ,     215.0,     203.0,112.0     ,0.26      ,2.06      ,  51.61735,    18.136,0.168519872500001
20        ,mp-1016601,Mg6NbC    ,      45.0,      36.0,25.0      ,0.22      ,1.98      ,43.07402666666667,     4.322,0.4296273646504529
21        ,mp-1018048,LaNiC2    ,     130.0,     120.0,75.0      ,0.24      ,1.95      ,69.86985666666668,    12.636,         0
22        ,mp-1018050,CrC       ,     346.0,     338.0,241.0     ,0.21      ,1.66      ,   32.0034,    30.599,0.0796021720833302
23        ,mp-1018164,PtC       ,     209.0,     209.0,14.0      ,0.46      ,1.77      , 103.54735,    21.464,0.9101787899999998
24        ,mp-10185  ,Mg3ZnC    ,      70.0,      70.0,34.0      ,0.29      ,1.45      ,33.908233333333335,     4.895,0.29094847173975014
25        ,mp-1018629,YPd3C     ,     151.0,     151.0,6.0       ,0.45      ,2.12      ,69.11218333333333,    20.656,0.4377890779999998
26        ,mp-1018635,ScPd3C    ,     157.0,     157.0,8.0       ,0.44      ,1.84      ,54.46220400000001,    19.679,0.49883357399999895
27        ,mp-1018636,SnPd3C    ,     131.0,     131.0,40.0      ,0.36      ,1.69      ,   79.0469,     9.533,0.534188293999998
28        ,mp-1018850,OsC2      ,     371.0,     353.0,189.0     ,0.26      ,1.85      , 101.12035,    29.812,0.5784825283333337
