Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted
1         ,mp-10102  ,KAgC2     ,      40.0,      23.0,4.0       ,0.31      ,2.43      ,52.992399999999996,     6.079 
2         ,mp-1022116,Mg6CuB    ,      51.0,      36.0,13.0      ,0.31      ,1.45      ,32.88733333333334,     4.405 
3         ,mp-1022207,Mg6FeC    ,      41.0,      23.0,13.0      ,0.28      ,1.56      ,30.720233333333336,     3.311 
4         ,mp-1022553,Mg6ZrC    ,      44.0,      33.0,16.0      ,0.3       ,2.06      ,42.51323333333333,       2.6 
5         ,mp-1029309,Na2HfN2   ,      55.0,      20.0,5.0       ,0.26      ,2.08      ,71.82882309333333,    12.405 
6         ,mp-1029313,NaRuN     ,     109.0,      78.0,29.0      ,0.33      ,1.9       ,46.02215642666667,     9.588 
7         ,mp-1029316,Na2ZrN2   ,      53.0,      19.0,4.0       ,0.27      ,2.06      ,42.740156426666665,     12.34 
8         ,mp-1029336,KZnN      ,      41.0,      31.0,3.0       ,0.38      ,2.43      ,39.50466666666667,     4.974 
9         ,mp-1029347,KPtN      ,      83.0,      46.0,21.0      ,0.27      ,2.43      ,82.72966666666666,    10.456 
10        ,mp-1029357,NaZnN     ,      74.0,      59.0,28.0      ,0.29      ,1.9       ,34.13515642666667,     6.126 
11        ,mp-10421  ,RbAuC2    ,      43.0,      19.0,7.0       ,0.24      ,2.65      ,98.14835633333333,     7.996 
12        ,mp-10422  ,NaAuC2    ,      65.0,      22.0,4.0       ,0.29      ,1.9       ,77.32234609333334,    14.987 
13        ,mp-10423  ,KAuC2     ,      53.0,      22.0,5.0       ,0.3       ,2.43      ,82.69185633333332,     9.391 
14        ,mp-10918  ,Rb2PdC2   ,      39.0,      23.0,7.0       ,0.31      ,2.65      ,67.96616666666667,     3.825 
15        ,mp-10919  ,Rb2PtC2   ,      49.0,      25.0,7.0       ,0.3       ,2.65      ,97.52083333333333,     6.749 
16        ,mp-15955  ,Y(BC)2    ,     193.0,     152.0,104.0     ,0.23      ,2.12      ,37.24251666666667,    19.038 
17        ,mp-23052  ,ZrIN      ,      36.0,       3.0,3.0       ,0.19      ,2.06      ,  77.37839,    13.619 
18        ,mp-27693  ,Sc(BC)2   ,     215.0,     165.0,130.0     ,0.19      ,1.84      ,22.592537333333336,     24.96 
19        ,mp-27848  ,TiIN      ,      44.0,       4.0,4.0       ,0.2       ,1.76      ,62.92605666666666,    14.676 
20        ,mp-27849  ,TiBrN     ,      52.0,      13.0,2.0       ,0.27      ,1.76      ,47.25923333333333,    16.714 
21        ,mp-27850  ,TiNCl     ,      51.0,       7.0,3.0       ,0.22      ,1.76      ,32.442233333333334,    17.888 
22        ,mp-27954  ,CuN3      ,      16.0,       4.0,1.0       ,0.29      ,1.45      ,  38.77635,     2.412 
23        ,mp-28480  ,Sc2NCl2   ,      45.0,       7.0,2.0       ,0.24      ,1.84      ,31.47187066666667,     16.13 
24        ,mp-29196  ,AuCN      ,      72.0,       3.0,1.0       ,0.29      ,1.74      ,74.32798966666665,    30.806 
25        ,mp-2967   ,La(CoB)2  ,     647.0,      87.0,128.0     ,0.26      ,1.95      ,69.54988833333333,    66.493 
26        ,mp-29826  ,ZnCN2     ,      87.0,      58.0,22.0      ,0.35      ,1.42      ,30.475466666666666,     7.032 
27        ,mp-29868  ,LiAuC2    ,      78.0,      28.0,8.0       ,0.29      ,1.74      ,71.97275633333334,    13.983 
28        ,mp-4366   ,Na2PtC2   ,      71.0,      32.0,9.0       ,0.3       ,1.9       ,76.69482309333334,    10.914 
29        ,mp-4384   ,Nb2CS2    ,      62.0,       6.0,1.0       ,0.22      ,1.98      ,45.660693333333334,    35.703 
30        ,mp-4823   ,Na2PdC2   ,      60.0,      32.0,9.0       ,0.31      ,1.9       ,47.14015642666667,     7.784 
31        ,mp-505824 ,Cs2PdC2   ,      36.0,      22.0,6.0       ,0.32      ,2.98      ,83.7787173,      3.28 
32        ,mp-505825 ,Cs2PtC2   ,      44.0,      23.0,6.0       ,0.31      ,2.98      ,113.33338396666666,     5.693 
33        ,mp-542791 ,ZrNCl     ,      45.0,       5.0,1.0       ,0.29      ,2.06      ,46.89456666666666,    17.093 
34        ,mp-559044 ,CuCSN     ,      54.0,      40.0,13.0      ,0.34      ,1.45      ,   30.4071,     4.009 
35        ,mp-559976 ,Ta2CS2    ,      69.0,       9.0,3.0       ,0.22      ,2.0       ,  75.00786,    26.247 
36        ,mp-568346 ,HfBrN     ,      55.0,      21.0,3.0       ,0.3       ,2.08      ,90.80023333333334,    12.923 
37        ,mp-568592 ,ZrNCl     ,      45.0,       3.0,2.0       ,0.28      ,2.06      ,46.89456666666666,    13.049 
38        ,mp-571454 ,LiAgC2    ,      42.0,      14.0,9.0       ,0.2       ,1.67      ,   42.2733,     9.077 
39        ,mp-5745   ,Nb2CS2    ,      64.0,       5.0,3.0       ,0.2       ,1.98      ,45.660693333333334,    26.899 
40        ,mp-580886 ,ZrIN      ,      40.0,       4.0,2.0       ,0.25      ,2.06      ,  77.37839,     12.97 
41        ,mp-608366 ,CuN6      ,      17.0,       9.0,4.0       ,0.27      ,1.45      ,  38.77635,     0.109 
42        ,mp-643367 ,YCBr      ,      26.0,      18.0,4.0       ,0.31      ,2.12      ,60.273516666666666,     1.977 
43        ,mp-643431 ,AgH4WS4N  ,      11.0,       6.0,8.0       ,0.11      ,1.93      , 67.757568,     1.642 
44        ,mp-7080   ,Li5(NiN)3 ,     101.0,      57.0,33.0      ,0.25      ,1.67      ,26.54703333333333,    12.292 
45        ,mp-7814   ,Ta2CS2    ,      66.0,       5.0,1.0       ,0.21      ,2.0       ,  75.00786,    40.498 
