Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
1         ,mp-1025123,UNi2B2C   ,     209.0,     208.0,82.0      ,0.31      ,1.75      ,79.88600249999999,    16.414,         0
2         ,mp-10343  ,Sc2BC2    ,     139.0,     137.0,51.0      ,0.28      ,1.84      ,22.592537333333336,    12.174,         0
3         ,mp-10413  ,AgB(CN)4  ,      33.0,      33.0,3.0       ,0.44      ,1.65      ,36.174150000000004,     1.739,0.42905377145266677
4         ,mp-10969  ,CdCN2     ,      93.0,      80.0,21.0      ,0.37      ,1.61      ,   46.1428,     7.306,         0
5         ,mp-12335  ,MnCN2     ,     105.0,      86.0,27.0      ,0.35      ,1.61      ,26.98514833333333,     8.272,0.06427520440499812
6         ,mp-12737  ,YB2Rh2C   ,     202.0,     202.0,41.0      ,0.39      ,2.12      ,53.65826249999999,    15.005,0.0063786277777717615
7         ,mp-29896  ,Y2B3C2    ,     153.0,     146.0,31.0      ,0.31      ,2.12      ,37.24251666666667,    15.963,         0
8         ,mp-4472   ,BMo2C     ,     317.0,     317.0,180.0     ,0.26      ,1.9       ,39.58723333333334,    23.528,0.04803277875000056
9         ,mp-5245   ,Zn(CN)2   ,      51.0,      51.0,1.0       ,0.46      ,1.42      ,30.475466666666666,    10.329,0.2554225019999983
10        ,mp-568083 ,LaNi2B2C  ,      84.0,      78.0,75.0      ,0.12      ,1.95      ,55.1051425,    18.254,         0
11        ,mp-6092   ,TbNi2B2C  ,     186.0,     186.0,70.0      ,0.33      ,2.25      ,60.1101125,    13.187,         0
12        ,mp-6098   ,ErNi2B2C  ,     162.0,     162.0,72.0      ,0.3       ,2.26      ,62.193524999999994,    12.354,         0
13        ,mp-6102   ,NdNi2B2C  ,     178.0,     178.0,72.0      ,0.32      ,2.06      ,56.439274999999995,    12.851,         0
14        ,mp-6223   ,DyNi2B2C  ,     195.0,     194.0,68.0      ,0.34      ,2.28      ,61.003775000000005,    13.683,         0
15        ,mp-6353   ,Y2Si4CN6  ,     172.0,     163.0,99.0      ,0.25      ,2.12      ,35.7521875,    14.493,         0
16        ,mp-6646   ,HoNi2B2C  ,     175.0,     174.0,70.0      ,0.31      ,1.75      , 61.611355,    13.676,         0
17        ,mp-6754   ,TmNi2B2C  ,     196.0,     194.0,70.0      ,0.33      ,2.22      ,62.612327500000006,    14.286,         0
18        ,mp-676416 ,V2CN      ,     306.0,     305.0,186.0     ,0.24      ,1.71      ,25.652966666666668,    24.008,0.12452762402778106
19        ,mp-6794   ,LaB2Rh2C  ,     205.0,     204.0,47.0      ,0.38      ,1.95      ,66.1581675,    15.279,         0
20        ,mp-9880   ,YB2C      ,     183.0,     171.0,137.0     ,0.19      ,2.12      ,37.24251666666667,    20.083,         0
