Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
1         ,mp-1001826,VN        ,     225.0,     225.0,13.0      ,0.45      ,1.71      ,   32.4741,    23.745,0.3269294699999996
2         ,mp-1001834,HfN       ,     172.0,     172.0,45.0      ,0.31      ,2.08      ,  96.24835,    16.605,0.9899383749999995
3         ,mp-1001916,HfN       ,     197.0,     197.0,86.0      ,0.31      ,2.08      ,  96.24835,    14.745,0.2713162400000009
4         ,mp-1002105,VN        ,     264.0,     264.0,192.0     ,0.16      ,1.71      ,   32.4741,    34.212,0.6783686049999993
5         ,mp-1008483,CdN       ,     103.0,      97.0,11.0      ,0.42      ,1.61      ,  63.20885,     10.17,0.9406183313100005
6         ,mp-1008798,ReN2      ,     355.0,     300.0,121.0     ,0.33      ,1.88      , 100.10685,    25.359,0.23183031254000142
7         ,mp-1008918,CdN       ,     143.0,     143.0,47.0      ,0.35      ,1.61      ,  63.20885,    10.431,0.8404801988100004
8         ,mp-1008922,CuN       ,     205.0,     205.0,63.0      ,0.36      ,1.45      ,  38.77635,    14.389,0.8306398788100005
9         ,mp-1008929,FeN       ,     195.0,     195.0,86.0      ,0.3       ,1.56      ,  34.92585,    14.743,0.3865156849999991
10        ,mp-1009130,MnN       ,     239.0,     239.0,57.0      ,0.39      ,1.61      ,34.4723725,    16.099,         0
11        ,mp-1009471,NbN       ,     316.0,     316.0,170.0     ,0.23      ,1.98      ,  53.45654,    28.786,0.640369784999999
12        ,mp-1009548,PdN       ,     188.0,     188.0,44.0      ,0.39      ,1.69      ,  60.21335,    13.584,0.93922036881
13        ,mp-1009750,ScN       ,     141.0,     141.0,39.0      ,0.35      ,1.84      , 29.481306,    10.344,0.3026731199999997
14        ,mp-1009770,RuN       ,     233.0,     233.0,39.0      ,0.41      ,1.78      ,57.538349999999994,    17.802,0.07114109381000056
15        ,mp-1009831,TaN       ,     355.0,     355.0,150.0     ,0.26      ,2.0       ,  97.47729,     30.85,0.8162796533333356
16        ,mp-1009836,ZrN       ,     249.0,     249.0,40.0      ,0.38      ,2.06      ,  52.61535,    20.798,0.884293744999999
17        ,mp-1009838,ZrN       ,     241.0,     239.0,117.0     ,0.28      ,2.06      ,  52.61535,     18.57,0.37058145499999995
18        ,mp-1014227,Ti2ZnN    ,     151.0,     148.0,99.0      ,0.23      ,1.76      ,42.42756666666667,     14.21,         0
19        ,mp-1014244,ZrZnN2    ,     177.0,     177.0,74.0      ,0.31      ,2.06      ,   56.8799,    13.203,         0
20        ,mp-1014251,HfZnN2    ,     185.0,     184.0,80.0      ,0.3       ,2.08      ,85.96856666666667,    14.585,         0
21        ,mp-1014252,Hf3ZnN    ,     151.0,     149.0,88.0      ,0.25      ,2.08      ,85.96856666666667,    13.656,         0
22        ,mp-1014257,Ti3ZnN    ,     147.0,     145.0,91.0      ,0.24      ,1.76      ,42.42756666666667,    13.385,         0
23        ,mp-1014265,Zr2N      ,     174.0,     173.0,78.0      ,0.28      ,2.06      ,  52.61535,    14.528,         0
24        ,mp-1014373,CrN2      ,     102.0,     102.0,20.0      ,0.41      ,1.66      ,   33.0014,      7.02,0.3416061292066672
25        ,mp-1014460,Cr3N4     ,     138.0,     125.0,138.0     ,0.1       ,1.66      ,   33.0014,    32.629,0.2844524396600008
26        ,mp-1014993,CrN2      ,     207.0,     207.0,70.0      ,0.33      ,1.66      ,   33.0014,    15.126,0.28894612837333256
27        ,mp-1016108,TiZnN2    ,     155.0,     154.0,55.0      ,0.34      ,1.76      ,42.42756666666667,     10.93,         0
28        ,mp-1017532,VN        ,     360.0,     345.0,206.0     ,0.24      ,1.71      ,   32.4741,    28.844,0.10796184249999996
29        ,mp-1017533,YN        ,     143.0,     142.0,70.0      ,0.25      ,2.12      , 51.456275,      13.7,0.35512374999999885
30        ,mp-1017546,ZrN       ,     238.0,     231.0,91.0      ,0.31      ,2.06      ,  52.61535,    17.846,0.3416082325000005
31        ,mp-1017553,CdCo3N    ,     186.0,     186.0,91.0      ,0.29      ,1.61      ,61.78363166666667,    14.574,0.03373803999999936
32        ,mp-1017554,CdNi3N    ,     182.0,     182.0,68.0      ,0.33      ,1.61      ,   61.7037,     13.49,         0
33        ,mp-1017556,CuNi3N    ,     196.0,     196.0,60.0      ,0.35      ,1.49      ,45.415366666666664,    14.499,         0
34        ,mp-1017632,Ni3SnN    ,     103.0,     103.0,44.0      ,0.3       ,1.49      ,63.803366666666655,     8.299,0.07801386851199954
35        ,mp-1018142,NbN       ,     227.0,     227.0,16.0      ,0.46      ,1.98      ,  53.45654,    21.677,0.42023565999999946
36        ,mp-1018157,CrN       ,     205.0,     205.0,62.0      ,0.35      ,1.66      ,   33.0014,    14.521,0.030874920000000472
37        ,mp-1018718,HfTa2N3   ,     257.0,     235.0,93.0      ,0.31      ,2.08      ,124.48152666666668,    20.537,0.406127347222224
38        ,mp-1018849,OsN       ,     321.0,     321.0,124.0     ,0.32      ,1.85      ,102.11834999999999,    22.937,0.4613073721433345
39        ,mp-1019052,ReN       ,     368.0,     368.0,175.0     ,0.29      ,1.88      , 100.10685,    26.525,         0
40        ,mp-1019055,ReN2      ,     380.0,     380.0,248.0     ,0.23      ,1.88      , 100.10685,    31.795,0.4953656792066674
41        ,mp-1019272,TaN2      ,     264.0,     245.0,143.0     ,0.26      ,2.0       ,  97.47729,    22.004,0.4379679441800004
42        ,mp-10196  ,Ta2N      ,     273.0,     272.0,114.0     ,0.31      ,2.0       ,  97.47729,    20.065,0.11325217000000087
43        ,mp-10247  ,U2CrN3    ,     231.0,     221.0,97.0      ,0.3       ,1.75      ,101.34390333333334,    18.353,         0
44        ,mp-1025517,Ti2InN    ,     138.0,     137.0,84.0      ,0.24      ,1.76      ,58.89723333333333,    12.972,         0
45        ,mp-1025550,Ti2GaN    ,     159.0,     159.0,109.0     ,0.22      ,1.76      ,43.865566666666666,     15.55,         0
46        ,mp-1029251,LiRuN     ,     107.0,     103.0,50.0      ,0.27      ,1.78      ,40.67256666666666,     9.413,         0
47        ,mp-1029258,Ca(ZnN)2  ,     121.0,     120.0,79.0      ,0.23      ,1.94      ,39.83123333333334,    11.359,         0
48        ,mp-1029262,VZn2N3    ,     153.0,     152.0,60.0      ,0.32      ,1.71      ,43.452400000000004,    11.348,         0
49        ,mp-1029267,CaZrN2    ,     163.0,     162.0,122.0     ,0.2       ,2.06      ,48.43623333333334,    17.284,         0
50        ,mp-1029293,CsVN2     ,     104.0,     104.0,41.0      ,0.32      ,2.98      ,65.9512173,     7.326,         0
51        ,mp-1029312,RbVN2     ,      55.0,      55.0,34.0      ,0.23      ,2.65      ,50.138666666666666,     4.644,         0
