Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
1,mp-1001602,B12W,239.0,239.0,82.0,0.29,1.93,97.3255,21.40994993269154,0.28235888897435846
2,mp-1001788,ZrB6,179.0,179.0,2.0,0.39,2.06,51.0175,46.6203615273916,0.40229190380952495
3,mp-1001826,VN,225.0,225.0,13.0,0.45,1.71,32.4741,23.745955955172555,0.3269294699999996
4,mp-1001834,HfN,172.0,172.0,45.0,0.31,2.08,96.24835,16.605790984557935,0.9899383749999995
5,mp-1001916,HfN,197.0,197.0,86.0,0.31,2.08,96.24835,14.745030441305394,0.2713162400000009
6,mp-10020,ScC,142.0,142.0,68.0,0.29,1.84,28.483306,10.456068087001219,0.3085164303571437
7,mp-1002105,VN,264.0,264.0,192.0,0.16,1.71,32.4741,34.21293439430066,0.6783686049999993
8,mp-1002124,HfC,163.0,163.0,23.0,0.41,2.08,95.25035,14.25267940798051,0.6414215250000002
9,mp-10030,RuC,342.0,334.0,74.0,0.38,1.78,56.54035,24.152993906880482,0.6487312799999998
10,mp-10046,V2AsC,203.0,203.0,110.0,0.26,1.71,45.95793333333334,17.105746645887777,0
11,mp-10055,Co2B4Mo,303.0,302.0,178.0,0.25,1.9,55.228064999999994,24.261732181623316,0.011681339285716241
12,mp-10057,VCoB3,291.0,287.0,203.0,0.21,1.71,40.228565,27.09245589532933,0
13,mp-10059,ZrCo3B2,244.0,244.0,122.0,0.27,2.06,53.656065000000005,19.484486440626696,0.011640041666664658
14,mp-10065,UFe3B2,237.0,228.0,126.0,0.26,1.75 ang,101.56163666666667,20.429336115364535,0
15,mp-1007881,FeB,242.0,236.0,144.0,0.24,1.56,33.328,21.04668489988606,0.006205907499999164
16,mp-1008483,CdN,103.0,97.0,11.0,0.42,1.61,63.20885,10.170117896184284,0.9406183313100005
17,mp-1008487,BW,341.0,341.0,182.0,0.27,1.93,97.3255,25.94494427174167,0.011545221249999571
18,mp-1008625,W2C,306.0,300.0,156.0,0.28,1.93,97.92535000000001,23.169977366283085,0.13711337000000157
19,mp-1008630,WC,358.0,358.0,199.0,0.23,1.93,97.92535000000001,32.32623313946666,0.9152278900000006
20,mp-1008632,V2C,219.0,219.0,64.0,0.32,1.71,31.4761,17.630202899194103,0.017705261666666416
21,mp-1008635,WC,249.0,249.0,3.0,0.48,1.93,97.92535000000001,46.369279066711826,0.6728753849999993
22,mp-1008798,ReN2,355.0,300.0,121.0,0.33,1.88,100.10685,25.359678617710046,0.23183031254000142
23,mp-1008805,ReC2,335.0,317.0,199.0,0.24,1.88,99.10884999999999,28.4700897300092,0.4789517108333339
24,mp-1008835,OsC2,370.0,347.0,187.0,0.27,1.85,101.12035,28.50642585636679,0.5998804700000004
25,mp-1008918,CdN,143.0,143.0,47.0,0.35,1.61,63.20885,10.431984414769564,0.8404801988100004
26,mp-1008922,CuN,205.0,205.0,63.0,0.36,1.45,38.77635,14.389096454422377,0.8306398788100005
27,mp-1008929,FeN,195.0,195.0,86.0,0.3,1.56,34.92585,14.743099605917953,0.3865156849999991
28,mp-1009130,MnN,239.0,239.0,57.0,0.39,1.61,34.4723725,16.09975624438797,0
29,mp-1009218,MoC,246.0,246.0,7.0,0.47,1.9,53.97535,33.09898011319755,0.5842500824999988
30,mp-1009458,NbC,197.0,197.0,78.0,0.32,1.98,52.45854,14.235864117295359,0.5928790033333335
31,mp-1009471,NbN,316.0,316.0,170.0,0.23,1.98,53.45654,28.786872533801457,0.640369784999999
32,mp-1009540,OsC,256.0,256.0,14.0,0.46,1.85,101.12035,27.49614345243164,0.7182718950000009
33,mp-1009548,PdN,188.0,188.0,44.0,0.39,1.69,60.21335,13.584828512547604,0.93922036881
34,mp-1009735,ReC,413.0,409.0,223.0,0.26,1.88,99.10884999999999,31.541507802929118,0.26498010124999993
35,mp-1009750,ScN,141.0,141.0,39.0,0.35,1.84,29.481306,10.344994343408802,0.3026731199999997
36,mp-1009770,RuN,233.0,233.0,39.0,0.41,1.78,57.538349999999994,17.80299445886,0.07114109381000056
37,mp-1009787,RuC,313.0,313.0,22.0,0.44,1.78,56.54035,30.06558174333575,0.9087174999999998
38,mp-1009792,RuC,223.0,223.0,51.0,0.39,1.78,56.54035,15.864614058411581,0.4535905099999997
39,mp-1009831,TaN,355.0,355.0,150.0,0.26,2.0,97.47729,30.850945923909578,0.8162796533333356
40,mp-1009832,TaC,225.0,225.0,81.0,0.34,2.0,96.47928999999999,16.00674826158142,0.5179577149999997
41,mp-1009836,ZrN,249.0,249.0,40.0,0.38,2.06,52.61535,20.798842811570914,0.884293744999999
42,mp-1009838,ZrN,241.0,239.0,117.0,0.28,2.06,52.61535,18.570477142769327,0.37058145499999995
43,mp-1009894,ZrC,135.0,135.0,33.0,0.37,2.06,51.61735,10.110080044948184,0.6132600900000007
44,mp-1010,MnB4,266.0,256.0,232.0,0.15,1.61,32.8745225,34.9153782193435,0.017570125000000658
45,mp-10113,ScBIr3,238.0,238.0,115.0,0.28,1.84,82.661304,19.14914699498022,0
46,mp-10118,Mn3B4,236.0,232.0,165.0,0.21,1.61,32.8745225,22.782463405706935,0
47,mp-10132,UB2Os3,297.0,297.0,136.0,0.3,1.85,146.35663666666667,22.004213787997486,0
48,mp-10133,Sc3BPb,79.0,79.0,65.0,0.18,1.84,87.65563733333333,10.095898147473909,0
49,mp-10136,Ti2ReB2,254.0,252.0,188.0,0.2,1.88,81.62833333333333,25.948328879536646,0
50,mp-10139,Sc3SnB,83.0,83.0,68.0,0.17,1.84,58.15897066666667,11.47537167168066,0.007751572166666776
51,mp-10140,Sc3TlB,74.0,74.0,54.0,0.21,1.84,86.71673733333331,7.768845590430379,0.03538100466666627
52,mp-10142,Ta3B4,296.0,296.0,205.0,0.22,2.0,95.87944,26.808254273874887,0
53,mp-1014227,Ti2ZnN,151.0,148.0,99.0,0.23,1.76,42.42756666666667,14.210046401555376,0
54,mp-1014244,ZrZnN2,177.0,177.0,74.0,0.31,2.06,56.8799,13.20326016785942,0
55,mp-1014246,ZrB,167.0,165.0,71.0,0.29,2.06,51.0175,13.611079674251636,0.3295970775000008
56,mp-1014251,HfZnN2,185.0,184.0,80.0,0.3,2.08,85.96856666666667,14.585662095803192,0
57,mp-1014252,Hf3ZnN,151.0,149.0,88.0,0.25,2.08,85.96856666666667,13.656272922600374,0
58,mp-1014257,Ti3ZnN,147.0,145.0,91.0,0.24,1.76,42.42756666666667,13.385316626552642,0
59,mp-1014265,Zr2N,174.0,173.0,78.0,0.28,2.06,52.61535,14.528778714704314,0
60,mp-1014307,ZrC,215.0,203.0,112.0,0.26,2.06,51.61735,18.136702258669963,0.168519872500001
61,mp-1014373,CrN2,102.0,102.0,20.0,0.41,1.66,33.0014,7.020946013810065,0.3416061292066672
62,mp-10144,B2W,298.0,292.0,130.0,0.29,1.93,97.3255,23.16638133482916,0.25751716333333263
63,mp-1014460,Cr3N4,138.0,125.0,138.0,0.1,1.66,33.0014,32.629668636182764,0.2844524396600008
64,mp-1014993,CrN2,207.0,207.0,70.0,0.33,1.66,33.0014,15.126483744480895,0.28894612837333256
65,mp-1016108,TiZnN2,155.0,154.0,55.0,0.34,1.76,42.42756666666667,10.93042110232924,0
66,mp-1016601,Mg6NbC,45.0,36.0,25.0,0.22,1.98,43.07402666666667,4.322509139815143,0.4296273646504529
67,mp-1017532,VN,360.0,345.0,206.0,0.24,1.71,32.4741,28.84433031992787,0.10796184249999996
68,mp-1017533,YN,143.0,142.0,70.0,0.25,2.12,51.456275,13.70033179704471,0.35512374999999885
69,mp-1017546,ZrN,238.0,231.0,91.0,0.31,2.06,52.61535,17.846653439192202,0.3416082325000005
70,mp-1017553,CdCo3N,186.0,186.0,91.0,0.29,1.61,61.78363166666667,14.574981991297028,0.03373803999999936
71,mp-1017554,CdNi3N,182.0,182.0,68.0,0.33,1.61,61.7037,13.490692740414394,0
72,mp-1017556,CuNi3N,196.0,196.0,60.0,0.35,1.49,45.415366666666664,14.499457821403697,0
73,mp-1017578,HfBRh3,239.0,239.0,105.0,0.3,2.08,97.40216666666667,18.257981844956042,0
74,mp-1017632,Ni3SnN,103.0,103.0,44.0,0.3,1.49,63.803366666666655,8.299436113079583,0.07801386851199954
75,mp-1018048,LaNiC2,130.0,120.0,75.0,0.24,1.95 ang,69.86985666666668,12.63630153536638,0
76,mp-1018050,CrC,346.0,338.0,241.0,0.21,1.66,32.0034,30.59981168671809,0.0796021720833302
77,mp-1018142,NbN,227.0,227.0,16.0,0.46,1.98,53.45654,21.677935866309873,0.42023565999999946
78,mp-1018157,CrN,205.0,205.0,62.0,0.35,1.66,33.0014,14.521776336960949,0.030874920000000472
79,mp-1018164,PtC,209.0,209.0,14.0,0.46,1.77,103.54735,21.46411771180317,0.9101787899999998
80,mp-10185,Mg3ZnC,70.0,70.0,34.0,0.29,1.45,33.908233333333335,4.895348333460653,0.29094847173975014
81,mp-1018629,YPd3C,151.0,151.0,6.0,0.45,2.12,69.11218333333333,20.656547260182997,0.4377890779999998
82,mp-1018635,ScPd3C,157.0,157.0,8.0,0.44,1.84,54.46220400000001,19.67991497154219,0.49883357399999895
83,mp-1018636,SnPd3C,131.0,131.0,40.0,0.36,1.69,79.0469,9.53303205967433,0.534188293999998
84,mp-1018643,YBPd3,192.0,192.0,7.0,0.46,2.12,68.71228333333333,25.359728779957088,0.09071025336363725
85,mp-1018718,HfTa2N3,257.0,235.0,93.0,0.31,2.08,124.48152666666668,20.537371857180297,0.406127347222224
86,mp-1018849,OsN,321.0,321.0,124.0,0.32,1.85,102.11834999999999,22.937894398243024,0.4613073721433345
87,mp-1018850,OsC2,371.0,353.0,189.0,0.26,1.85,101.12035,29.81232455529851,0.5784825283333337
88,mp-1019052,ReN,368.0,368.0,175.0,0.29,1.88,100.10685,26.525495103502067,0
89,mp-1019054,ReC2,349.0,334.0,190.0,0.26,1.88,99.10884999999999,27.594397573647257,0.4479668441666682
90,mp-1019055,ReN2,380.0,380.0,248.0,0.23,1.88,100.10685,31.7952790517448,0.4953656792066674
91,mp-1019272,TaN2,264.0,245.0,143.0,0.26,2.0,97.47729,22.004684283860783,0.4379679441800004
92,mp-10196,Ta2N,273.0,272.0,114.0,0.31,2.0,97.47729,20.065052236605254,0.11325217000000087
93,mp-10247,U2CrN3,231.0,221.0,97.0,0.3,1.75 ang,101.34390333333334,18.353830290998943,0
94,mp-1024999,HoCr2Si2C,161.0,159.0,110.0,0.22,1.75 ang,64.255655,16.08988047855243,0
95,mp-1025123,UNi2B2C,209.0,208.0,82.0,0.31,1.75 ang,79.88600249999999,16.414170679654482,0
96,mp-1025170,Ti3B4,226.0,224.0,211.0,0.14,1.76,29.339,32.05157690592949,0
97,mp-1025181,Tm2Cr2C3,167.0,166.0,72.0,0.3,2.22,77.64700333333333,13.149716459278872,0
98,mp-1025192,Ta4C3,296.0,296.0,127.0,0.31,2.0,96.47928999999999,21.195947099247775,0.13348866857142738
99,mp-1025205,Y2Re2Si2C,150.0,149.0,69.0,0.29,2.12,78.8022625,12.157959603600263,0
100,mp-1025262,Sm2Fe2Si2C,130.0,126.0,66.0,0.26,2.38,61.5753,11.63310800079629,0
101,mp-1025264,U2W2C3,201.0,188.0,96.0,0.28,1.93,144.62653666666668,16.945466119225244,0.13990459928571575
102,mp-1025266,Tb2Cr2C3,150.0,149.0,63.0,0.3,2.25,74.31071666666666,11.990515472273744,0
103,mp-1025285,Ce2Re2Si2C,122.0,119.0,56.0,0.29,1.88,91.6048,10.08045349382578,0
